0.000333431 0.000496018 9.88131e-324 3737.85 2.66258e-06 | 39 2
0.00050166 0.000260936 9.88131e-324 3678.3 1.06156e-05 | 40 2
0.000412375 0.000159979 9.88131e-324 3690 1.19474e-05 | 41 2
0.000581854 0.000149349 9.88131e-324 3660.26 1.54547e-05 | 42 2
0.000607101 0.000403176 9.88131e-324 3675.04 1.22627e-05 | 43 2
0.000526073 0.000208972 9.88131e-324 3670.03 9.86258e-06 | 44 2
0.000482628 0.000257351 9.88131e-324 3686.35 1.26676e-05 | 45 2
0.000501153 0.000524429 9.88131e-324 3695.43 8.86098e-06 | 46 2
0.000368109 0.000379951 9.88131e-324 3760.7 1.71001e-05 | 47 2
0.00041115 0.000143063 9.88131e-324 3675.78 1.31977e-05 | 48 2
0.000393734 0.000257624 9.88131e-324 3700.65 1.22404e-05 | 49 2
0.000499859 3.34602e-05 9.88131e-324 3668.44 1.1581e-05 | 50 2
0.000569661 0.000345161 9.88131e-324 0 1.2174e-05 | 51 2
0.000606979 0.00020008 9.88131e-324 3643.69 1.61346e-05 | 52 2
0.000375039 0.000463602 9.88131e-324 3705.39 2.04381e-05 | 53 2
0.000675059 8.91711e-05 9.88131e-324 3601.24 6.95925e-06 | 54 2
0.000602532 0.000160942 9.88131e-324 3665.14 1.80036e-05 | 55 2
0.000205621 0.000275464 9.88131e-324 3812.41 1.11255e-05 | 56 2
0.000399271 0.000153842 9.88131e-324 3690 2.58592e-06 | 57 2
0.000564241 0.00112624 9.88131e-324 4063.33 2.65508e-06 | 58 2
0.000556795 0.000158203 9.88131e-324 3671.28 1.01648e-05 | 59 2
0.00058551 0.000249737 9.88131e-324 3661.14 1.27684e-05 | 60 2
0.000471022 0.000324335 9.88131e-324 3679.16 1.5077e-05 | 61 2
0.000864161 0.000165129 9.88131e-324 3560.11 1.3582e-05 | 62 2
0.000600427 0.000314474 9.88131e-324 3676.14 1.94335e-05 | 63 2
0.000401411 0.00023034 9.88131e-324 3699.99 1.11284e-05 | 64 2
0.0006431 0.000311784 9.88131e-324 3682.83 2.09572e-05 | 65 2
